Title,Art Type,Facility,Image,Artist,Artist Profile URL,Partnership,Description,Address,City,State,Postal Code,Source URL Text,Source URL ,latLong,isActive,imagePath
1737 Trees,Photography,San José City Hall,,Angela Buenning Filo,http://www.angelabuenning.com/,City of San Jose,"Trees is a grid of photographic portraits of every tree in one of San Jose’s last orchards. Angela Buenning Filo was inspired to photograph these trees by a November 10th, 2002 newspaper article that described a San Jose prune orchard as the last in Silicon Valley. She drove in search of it and found the strip of trees alongside the IBM campus on Cottle Road and photographed the trees. When, in the following months Filo's thoughts kept returning to the trees, she decided to document the orchard before it was destroyed. It was then she set out to make an individual portrait of each of the orchard’s 1,737 trees with the intention of arranging the finished photographs in the same grid in which the trees were planted in the orchard. By this time IBM, which had preserved the orchard on its property for decades, had sold the land, and a large billboard announced that the 42 acres were up for sale again. Filo worked over the next three years, choosing to photograph the trees’ leafless branches in winter under overcast skies. With the orchard still standing, but the land slated for development, she photographed the final tree in 2006.",200 E. Santa Clara Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32281,"-121.886727494171,
          37.3378935622801",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/1737%20Trees_Angela%20Buenning%20Filo.jpeg
A Monument to the Last Barn,Architecture,Emma Prusch Farm Park,,Gloria Bornstein,,City of San Jose,"A native of San Jose, Emma Prusch bequeathed her 47 acre dairy farm to the City in 1962. The deed to the City specified that the City “will make said park a place of relaxation, recreation, and enjoyment for the people of the City of San Jose, and in such a manner as will, to extent that such can be  reasonably done, give to said park a rural county character and atmosphere.” Emma Prusch Farm Park includes heritage, high density, and rare fruit orchards, a Plant Science Center, two community gardens, pollinator and butterfly gardens, as well as acres of lush green lawns for picnics and playing. It also has one of the largest free standing wooden barns in California, home to 4H large animals including beef cattle, sheep, and swine. 

The artist was inspired by the story of Emma Prusch, San Jose's rich agricultural history and the continuing traditions. A Monument to the Last Barn draws upon this influence: the form is a four-sided metal structure derived from traditional Santa Clara barns, but stripped of outer cladding to reveal the essential framework. This iconic linkage to early barns is further underscored by the rich, deep barn red color of the piece. The barn’s corrugated galvanized steel roof is topped with three golden wind vanes depicting a rooster, a windmill and an apple. The gables and railings are inset with filigree screens in a bold “fruits and leaves” pattern, representing the orchards that were so vital to the region. Benches placed inside the barn create an inviting and reflective atmosphere amidst the lively park grounds. The artist conceived of this work as homage to the last great large barn on the site at Prusch Farm Park.",647 S. King Road,San Jose,CA,95122,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32285,"-121.845500806679,
          37.342202729332",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/A%20Monument%20to%20the%20Last%20Barn_Gloria%20Bornstein.jpeg
A Small Part of What We Do,Architecture,Fire Station 1,,Tad Savinar,,City of San Jose,"The work consists of 29 cast bronze panels of varying sizes set into shallow niches that surround the building exterior on Market and Devine Streets.  The plaques contain text based on interviews conducted by the artist with firefighters, their families and the people they have served. Examples of quotes: 

• ""I will never forget the taste of that infant’s last dying breath as it lingered in my mouth.""
• ""Fires are really just a small part of what we do.""
• ""It’s a pretty good feeling to bring back someone’s pulse.""
• ""We go running into a burning building, when most people’s sense tells them to run out.""",255 North Market Street,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32287,"-121.894971880892,
          37.3392221073999",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/A%20Small%20Part%20of%20What%20We%20Do_Tad%20Savinar.jpeg
Almaden Sphere,Sculpture ,Amalden Community Center and Library,,Ray King,https://www.rayking.nu/,City of San Jose,"Sphere is a celestial shower of light and color suspended from a web of stainless steel cables in the entry lobby of the Community Center and Library. Designed to interact with both the natural sunlight and the interior lights, the sculpture is a modern interpretation of the tradition of grand crystal chandeliers that adorned great halls.  Comprised of 5,000 dichroic glass prisms Sphere measures 18’ diameter and 23’ high and weighs approximately 800 pounds. The artist desired to create a sculpture that evokes a sense of fascination, stimulation, beauty, contemplation, and intrigue.",6445 Camden Avenue,San Jose,CA,95120,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32289,"-121.865548826801,
          37.2207169102402",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Almaden%20Sphere_Ray%20King.jpeg
Alum Rock Garden,Architecture,Dr. Roberto Cruz Alum Rock Branch Library ,,Jim Hirschfield and Sonya Ishii,,City of San Jose,"The artwork consists of four terrazzo mandalas (ritualistic geometric designs symbolic of the universe), each 8’ in diameter, inset in the floor. The pieces commemorate and metaphorically articulate the community’s agricultural history, strong multicultural history, as well as the region’s distinctive geological features and their influence on the area’s history and development. These themes are also echoed within the skylights installed above the terrazzo elements. The artwork is placed beneath four 8’ diameter skylights within the library with corresponding colors.",3090 Alum Rock Avenue,San Jose,CA,95127,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32291,"-121.828159761905,
          37.3655531428571",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Alum%20Rock%20Garden_Jim%20Hirschfield%20and%20Sonya%20Ishii.jpeg
Alviso Bench & Mandalas,Sculpture,Alviso Branch Library,,Donna Billick,,City of San Jose,"This project was inspired by the rich natural landscape of Alviso including the wetlands of the National Wildlife Refuge, some of the last open space in the region. Working with the community, the artist created the artwork's three tile mosaic elements: Alviso, a bench in the form of a book that is standing on its side with images depicting indigenous plant life and the wetlands on its “covers”; and the two Alviso Mandalas, each 6’ in diameter. Together these elements create a visual welcome to the library and offer the community a place to pause and enjoy the setting.",5050 N. First St.,San Jose,CA,95002,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32293,"-121.9251429,
          37.3827186",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Alviso%20Bench%20_%20Mandalas_Donna%20Billick.jpeg
Animal Spiral and Butterfly Dreams,Mural,Seven Trees Community Center,,Therese May,,City of San Jose,"1993 The two 14-foot square quilts originally created for the San Jose Convention Center moved to a new home at Seven Trees Community Center (2013). Both quilts speak to the theme of transformation.  Butterfly Dreams, presents a universal symbol of transformation.  Animal Spiral focuses on the journey home in a spiral with a pathway to the center.",3590 Cas Dr,San Jose,CA,95111,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2489/1396,"-121.832778731676,
          37.2844201688482",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Animal%20Spiral%20and%20Butterfly%20Dreams_Therese%20May.jpeg
Another World,Sculpture,Happy Hollow Park and Zoo,,Tom Otterness,http://www.tomotterness.net/,"City of San Jose, Happy Hollow Park and Zoo","The Public Art Program collaborated with Happy Hollow to select internationally recognized artist Tom Otterness to create an artwork for the new entry plaza. The artwork consists of 17 bronze pieces each reflecting an element of the Park or the Zoo. As the artist has said: For me the sculptures at HHPZ serve to launch an experience, not to mimic anything inside HHPZ; it’s a fairy tale—animals drive cars and money is food.Some characteristic motifs seen in other Otterness works are found in Another World—including manipulation of human and animal scale, depictions of coins and bills, use of clothing—to add humorous and thought-provoking aspects to the artwork. These unifying motifs allow the viewer to explore a central theme of this artwork: what is the relationship between humans and the rest of the animal kingdom?",1300 Senter Road,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32295,"-121.865467,
          37.325692",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Another%20World_Tom%20Otterness.jpeg
Beaver-Splash-Jump-Dog,Sculpture,Del Monte Park,,Gerald Heffernon,,City of San Jose,"This fun and exuberant sculpture links the themes of wild animal and domestic dog. A bronze beaver in the creek slaps the water with its tail and creates an over-sized splash of stainless steel.  An extension of the splash sends a bright yellow ball in a high-arcing trajectory ten feet high.  Fifteen feet away, a bronze dog leaps ten feet in the air and in visual time lapse sequence catches the ball, completing the connection between the two sculptural elements and the two worlds.  District6 Report a concern (408) 793-04330 or publicart@sanjoseca.gov",806 W Home St,San Jose,CA,95126,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2493/1396,"-121.904648748739,
          37.3200967826525",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Beaver-Splash-Jump-Dog_Gerald%20Heffernon.jpeg
Big Flowers,Sculpture,Adobe Loading Dock,,Jean Whitesavage and Nick Lyle,,"City of San Jose, Adobe Systems","The San José Public Art Program in association with Adobe Systems, commissioned artist Whitesavge and Lyle in the creation of artwork for the loading dock at Adobe's new Amaden Tower. Big Flowers is a fence scaled to screen the Adobe loading dock as viewed from McEnery Park. The fence is of hand-forged steel depicting native California flora. The botanical elements are larger than life, finished in a red color, and read clearly from a distance. The lower half of the panels are intended to act as a trellis for the vine growing on portions of the wall below.",345 Park Ave,San Jose,CA,95110,,https://www.sanjoseca.gov/home/showdocument?id=32297,"-121.894342019024,
          37.3307716",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Big%20Flowers_Jean%20Whitesavage%20and%20Nick%20Lyle.jpeg
